%% ----------- Irrigation schedule time-series for AquaCropOS ---------- %%								
Day	Month	Year	Irrigation(mm)					
6	9	2021	32					
7	9	2021	3					
28	9	2021	6					
4	10	2021	4					
6	10	2021	10					
11	10	2021	4					
14	10	2021	7					
18	10	2021	4					
27	10	2021	9					
6	11	2021	6					
14	11	2021	5					
16	10	2021	19					
4	12	2021	12					
12	12	2021	16					
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								18-Dec-21
								19-Dec-21
								20-Dec-21
								21-Dec-21
								22-Dec-21
								23-Dec-21
								24-Dec-21
								25-Dec-21
								26-Dec-21
								27-Dec-21
								28-Dec-21
								29-Dec-21
								30-Dec-21
								31-Dec-21
								1-Jan-22
								2-Jan-22
								3-Jan-22
								4-Jan-22
								5-Jan-22
								6-Jan-22
